Date,symbol,stocks,cmp,dRSI,wRSI,mRSI,sector,ema20,ema50,latestChange,weeklyChange,monthlyChange
28th Jan	ATGL	ATGL	529.85	37.32	34.93	37.56	energy	549.6	571.99	0.866	2.4	-6.5
28th Jan	GRSE	GRSE	2518.7	57.54	51	60.3	aerospace & defence	2402.02	2465.43	5.49	12.7	3.05
28th Jan	AAVAS	AAVAS	1493	55.88	43.57	43.88	financials	1459.43	1501.72	0.498	0.912	1.98
28th Jan	IRCON	IRCON	163.74	51.15	47.81	47.7	realty	162.03	163.92	5.7	7.1	-7.83
28th Jan	CREDITACC	CREDITACC	1292.3	47.44	49.05	53.67	financials	1318.02	1317.97	-2.14	-7.21	1.47
28th Jan	HDFCAMC	HDFCAMC	2477.6	40.81	42.35	60.84	financials	2539.91	2605.81	1.67	1.97	-7.28
28th Jan	RITES	RITES	227.23	46.86	42.86	44.05	miscellaneous	228.55	234.45	4.26	4.33	-6.42
28th Jan	ADANIGREEN	ADANIGREEN	822.9	30.36	35.69	39.55	power & utilities	915.82	970.95	2.98	6.48	-18.93
28th Jan	LEMONTREE	LEMONTREE	126.98	24.24	32.48	46.55	services	141.09	150.41	1.73	2.38	-20.27
28th Jan	HAL	HAL	4624	60.86	53.32	58.88	aerospace & defence	4421.55	4463.84	6.34	7.39	5.36
28th Jan	BANDHANBNK	BANDHANBNK	153.35	62.65	48.76	40.88	bank	145.81	148.3	2.91	2.69	5.16
28th Jan	BDL	BDL	1570	60.99	53.21	58.33	aerospace & defence	1484.38	1486.68	6.85	11.51	7.06
28th Jan	ASTERDM	ASTERDM	549.65	31.27	36.96	55.95	healthcare	586.42	611.58	-0.821	-1.01	-10.89
28th Jan	AMBER	AMBER	5614	27.07	29.38	48.96	consumer discretionary	6085.2	6549.08	1.89	0.871	-12.1
28th Jan	NEWGEN	NEWGEN	599.95	17.01	22.19	41.24	i.t	723.93	798.95	-0.827	-3.89	-29.01
28th Jan	NIACL	NIACL	147.68	42.08	35.98	41.73	financials	149.57	158.59	2.7	2.97	-5.22
28th Jan	HDFCLIFE	HDFCLIFE	728.6	41.91	44.29	53.44	financials	739.39	749.92	1.19	2.32	-2.83
28th Jan	NAM-INDIA	NAM-INDIA	834.8	44.41	49.28	65.28	financials	856.43	863.23	4.49	1.32	-5.1
28th Jan	TIINDIA	TIINDIA	2280.7	33.87	28.24	37.46	industrials	2395.49	2582.83	4.17	2.76	-12.75
28th Jan	IEX	IEX	128.71	39.42	38.27	40.1	financials	135.16	138.45	0.909	0.925	-4.11
28th Jan	GICRE	GICRE	375.35	52.97	48.85	53.77	financials	371.54	374.48	0.603	1.28	-1.43
28th Jan	GODREJAGRO	GODREJAGRO	530.9	40.38	30.27	38.59	fmcg	543.37	572.1	2.63	3.49	-7.06
28th Jan	ICICIGI	ICICIGI	1822.2	34.31	39.8	51.3	financials	1878.78	1920.53	0.903	1.48	-7.13
28th Jan	SBILIFE	SBILIFE	2053.2	52.08	63.11	70.27	financials	2048.23	2020.09	0.736	2.53	0.899
28th Jan	ABCAPITAL	ABCAPITAL	348.3	45.97	62.23	72.27	financials	353.1	346.46	-0.172	0.245	-2.63
28th Jan	DIXON	DIXON	10279	24.82	23.78	43.17	consumer discretionary	11254.23	12587.36	0.933	-0.782	-15.06
28th Jan	COCHINSHIP	COCHINSHIP	1622.9	58.21	47.04	54.28	aerospace & defence	1551.62	1606.07	6.55	9.04	0.173
28th Jan	ERIS	ERIS	1350.9	27.89	31.64	51.07	healthcare	1450.7	1515.05	0.573	-2.5	-10.28
28th Jan	TEJASNET	TEJASNET	339.05	32.91	23.23	31.39	telecom	374.09	432.57	14.49	11.51	-24.6
28th Jan	CDSL	CDSL	1356.9	37.59	38.44	52.02	financials	1402.59	1465.85	2.63	2.31	-6.01
