Date,Symbol,Stocks,Cmp,Drsi,Wrsi,Mrsi,Sector,Ema20,Ema50,Latest change,Weekly change,Monthly change
"8th Jan","PCBL","PCBL","285.45","31.99","28.01","45.02","chemicals","302.22","321.19","-2.89","-4.96","-5.32"
"8th Jan","DEEPAKNTR","DEEPAKNTR","1616.10","42.92","39.72","39.93","chemicals","1659.40","1670.34","-1.45","-5.55","-6.68"
"8th Jan","COROMANDEL","COROMANDEL","2271.20","45.99","50.84","61.34","chemicals","2305.29","2292.38","-2.00","-0.390","0.212"
"8th Jan","BAYERCROP","BAYERCROP","4495.70","48.06","38.84","42.25","chemicals","4502.78","4601.26","-0.886","-1.12","-1.37"
"8th Jan","SCHAEFFLER","SCHAEFFLER","3851","49.30","47.73","54.16","industrials","3843.28","3898.53","1.34","-0.601","-0.722"
"8th Jan","ELECON","ELECON","503.35","54.08","42.95","49.74","industrials","490.68","505.54","-2.80","0.469","4.55"
"8th Jan","ZEEL","ZEEL","90.59","37.91","32.75","35.64","media","92.18","96.54","-1.66","-0.582","0.700"
"8th Jan","WESTLIFE","WESTLIFE","524.10","40.13","31.77","34.23","consumer discretionary","540.06","563.26","-0.257","-2.70","-6.50"
"8th Jan","EICHERMOT","EICHERMOT","7551","67.54","73.51","80.14","auto","7330.00","7148.32","-0.415","2.95","3.26"
"8th Jan","CHOLAHLDNG","CHOLAHLDNG","1856.60","47.60","48.98","58.73","financials","1872.90","1880.65","-1.48","-0.849","2.41"
"8th Jan","SARDAEN","SARDAEN","494.80","43.22","46.05","60.24","metals & mining","510.34","514.27","-3.15","-5.39","-4.95"
"8th Jan","ZENSARTECH","ZENSARTECH","718.45","48.48","44.22","52.67","i.t","717.81","733.32","1.94","2.73","2.10"
"8th Jan","SRF","SRF","3042.30","52.37","54.18","59.33","chemicals","3040.03","2994.32","-1.79","-0.562","-1.06"
"8th Jan","SWANCORP","SWANCORP","440.75","37.19","45.54","48.11","textiles","463.11","460.38","-5.37","-4.77","-5.99"
"8th Jan","PHOENIXLTD","PHOENIXLTD","1903.20","66.76","68.34","70.09","realty","1855.91","1783.62","-2.03","-0.011","2.68"
"8th Jan","VTL","VTL","413.05","27.82","42.43","47.28","textiles","435.82","436.82","-2.93","-5.29","-5.60"
"8th Jan","BALKRISIND","BALKRISIND","2375.70","55.10","48.74","46.70","auto","2352.43","2348.00","-0.913","0.300","2.41"
"8th Jan","BBTC","BBTC","1835.80","43.90","46.25","50.47","auto","1872.35","1881.72","-3.59","-2.40","-2.82"
"8th Jan","TATAINVEST","TATAINVEST","685.85","35.83","42.62","53.50","financials","706.64","733.66","-1.87","-2.54","-1.68"
"8th Jan","FINPIPE","FINPIPE","177.10","54.73","40.99","41.77","plastic products","174.53","178.27","-1.37","-0.790","1.78"
"8th Jan","CEATLTD","CEATLTD","3850.60","51.33","56.15","62.24","auto","3825.14","3818.63","1.77","-0.942","0.997"
"8th Jan","APOLLOTYRE","APOLLOTYRE","519.95","57.19","61.85","58.31","auto","509.21","507.71","0.464","4.57","3.99"
"8th Jan","ITC","ITC","340.90","13.44","22.55","35.00","fmcg","377.70","392.54","-0.103","-2.61","-15.41"
"8th Jan","CASTROLIND","CASTROLIND","188.72","48.09","42.42","48.59","chemicals","189.30","191.14","-0.736","-1.45","-1.99"
"8th Jan","INDHOTEL","INDHOTEL","704.35","37.12","42.45","55.60","services","730.24","732.22","-1.54","-5.92","-4.67"
"8th Jan","EIHOTEL","EIHOTEL","350.40","30.01","37.88","50.46","services","364.78","372.11","-1.28","-4.60","-4.85"
"8th Jan","COLPAL","COLPAL","2046.60","33.08","31.74","40.89","fmcg","2097.91","2143.48","-1.44","-2.08","-1.40"
"8th Jan","BRITANNIA","BRITANNIA","6033.50","51.77","55.33","60.99","fmcg","6027.83","5972.35","-2.45","0.819","0.042"
"8th Jan","ASIANPAINT","ASIANPAINT","2786.50","49.12","59.13","52.99","building materials","2796.21","2752.84","-0.815","0.501","0.614"
"8th Jan","TATACONSUM","TATACONSUM","1197.40","56.34","62.14","61.91","fmcg","1182.84","1168.59","-1.25","2.28","0.453"
